Component,Price,Retail
Ceramic capacitors,0.24,0.24
Flastic Film Capacitors,2.45,2.45
Polymer Capacitors,5.52,5.52
Diodes,1.2,1.2
Resistors ,0.17,0.17
Transistors,2.25,2.25
Charger IC  ,Sample,0.64
LDO ,Sample,0.64
Crystal Oscillators ,3.18,3.18
Temperature Sensor  ,Sample,4.09
MEMS microphone,Sample,0.62
GPS module,33.89,33.89
ANT module,14.52,14.52
Accelerometer,Sample,2.84
EMF32GG332 MCU,Sample,4.67
Battery ,6.89,6.89
Misc sockets - connectors etc.,20,20
Xbee 2,22.8,22.8
Xbee PRO,44.32,44.32
Xbee Explorer USB,19.94,19.94
2.4 GHz antenna,6.61,6.61
MicroSD card,2,2
Raspberry Pi,26.99,26.99
Heart rate monitor,20,20
Device cases,12.27,12.27
,,
Total:,212.97 GBP,226.47 GPB
